CODE;Term / Date;29/10/2021;30/09/2021;31/08/2021;30/07/2021;30/06/2021;31/05/2021;30/04/2021;31/03/2021;26/02/2021;29/01/2021;31/12/2020;30/11/2020;30/10/2020;30/09/2020;31/08/2020;31/07/2020;30/06/2020;29/05/2020;30/04/2020;31/03/2020;28/02/2020;31/01/2020;31/12/2019;29/11/2019;31/10/2019;30/09/2019;30/08/2019;31/07/2019;28/06/2019;31/05/2019;30/04/2019;29/03/2019;28/02/2019;31/01/2019;31/12/2018;30/11/2018;31/10/2018;28/09/2018;31/08/2018;31/07/2018;29/06/2018;31/05/2018;30/04/2018;30/03/2018;28/02/2018;31/01/2018;29/12/2017
EUSA1 Curncy;1;-0,4425;-0,5022;-0,5157;-0,5206;-0,5049;-0,5068;-0,5128;-0,5152;-0,496;-0,541;-0,529;-0,517;-0,5328;-0,485;-0,442;-0,418;-0,355;-0,241;-0,273;-0,3173;-0,419;-0,3661;-0,3212;-0,3455;-0,361;-0,4247;-0,497;-0,4209;-0,363;-0,2774;-0,2308;-0,2297;-0,21;-0,2237;-0,2322;-0,24;-0,2397;-0,2423;-0,2468;-0,253;-0,2538;-0,231;-0,2571;-0,2614;-0,2525;-0,2645;-0,2573
EUSA2 Curncy;2;-0,2236;-0,4292;-0,4803;-0,4942;-0,4583;-0,4686;-0,4785;-0,4972;-0,4642;-0,5393;-0,521;-0,5186;-0,5445;-0,4865;-0,4313;-0,4309;-0,3882;-0,2975;-0,344;-0,323;-0,4335;-0,372;-0,2915;-0,3375;-0,3647;-0,453;-0,5567;-0,449;-0,3835;-0,2757;-0,1922;-0,2012;-0,138;-0,1657;-0,1741;-0,1525;-0,1216;-0,1065;-0,1485;-0,1445;-0,175;-0,1367;-0,1434;-0,157;-0,1212;-0,126;-0,1498
EUSA3 Curncy;3;-0,0751;-0,3512;-0,4348;-0,4551;-0,3965;-0,4078;-0,4168;-0,4518;-0,4193;-0,519;-0,506;-0,508;-0,539;-0,477;-0,4185;-0,4293;-0,3905;-0,3115;-0,3528;-0,3083;-0,4205;-0,3555;-0,2379;-0,308;-0,3413;-0,4535;-0,5722;-0,4328;-0,3555;-0,2313;-0,1293;-0,1398;-0,0431;-0,0785;-0,077;-0,0185;0,038;0,0675;-0,0112;0,014;-0,0363;0,0008;0,034;0,0172;0,0785;0,0831;0,013
EUSA4 Curncy;4;-0,0145;-0,2721;-0,3864;-0,4122;-0,3277;-0,337;-0,343;-0,3887;-0,3623;-0,4837;-0,485;-0,487;-0,5186;-0,455;-0,394;-0,4172;-0,3766;-0,3045;-0,3499;-0,2749;-0,3997;-0,3305;-0,175;-0,273;-0,3047;-0,4359;-0,555;-0,3968;-0,2988;-0,1702;-0,0495;-0,0658;0,06;0,015;0,0592;0,1315;0,2013;0,2365;0,135;0,178;0,1158;0,15;0,2205;0,2007;0,2775;0,2895;0,172
EUSA5 Curncy;5;0,0425;-0,1927;-0,3312;-0,3633;-0,2566;-0,2613;-0,263;-0,3142;-0,2977;-0,4427;-0,459;-0,458;-0,49;-0,4265;-0,3615;-0,398;-0,3525;-0,288;-0,336;-0,2345;-0,3715;-0,298;-0,1105;-0,2289;-0,2616;-0,4075;-0,527;-0,3435;-0,2295;-0,096;0,0382;0,0136;0,1694;0,1227;0,1979;0,2745;0,3525;0,392;0,2734;0,332;0,2628;0,3005;0,3865;0,3642;0,4545;0,4745;0,316
EUSA6 Curncy;6;0,0954;-0,1171;-0,274;-0,3102;-0,1826;-0,1826;-0,179;-0,2357;-0,2303;-0,3963;-0,427;-0,424;-0,453;-0,395;-0,3238;-0,3718;-0,323;-0,2635;-0,308;-0,1924;-0,341;-0,2595;-0,0465;-0,1785;-0,2106;-0,3666;-0,4877;-0,2803;-0,152;-0,015;0,132;0,1013;0,2785;0,2355;0,336;0,4135;0,4955;0,534;0,409;0,4749;0,4059;0,4453;0,538;0,513;0,6135;0,6275;0,4455
EUSA7 Curncy;7;0,14;-0,0421;-0,2132;-0,2528;-0,1097;-0,1013;-0,095;-0,1563;-0,1618;-0,346;-0,389;-0,384;-0,411;-0,357;-0,283;-0,3392;-0,2896;-0,2335;-0,2693;-0,149;-0,307;-0,2125;0,0175;-0,1235;-0,1561;-0,3188;-0,4381;-0,211;-0,0702;0,0707;0,229;0,1938;0,3881;0,3475;0,469;0,5439;0,626;0,663;0,5375;0,6068;0,5388;0,5715;0,6695;0,6435;0,7545;0,7585;0,5653
EUSA8 Curncy;8;0,1905;0,0285;-0,152;-0,1922;-0,0358;-0,021;-0,014;-0,079;-0,0942;-0,294;-0,349;-0,3415;-0,366;-0,3163;-0,239;-0,3055;-0,2513;-0,2005;-0,234;-0,106;-0,267;-0,161;0,0834;-0,0637;-0,096;-0,2639;-0,3835;-0,137;0,0141;0,1601;0,3272;0,288;0,4972;0,459;0,5935;0,6652;0,7467;0,781;0,657;0,7295;0,6585;0,692;0,7885;0,762;0,8778;0,8725;0,6793
EUSA9 Curncy;9;0,238;0,094;-0,091;-0,1311;0,0345;0,0529;0,064;-0,003;-0,0292;-0,241;-0,306;-0,297;-0,3245;-0,273;-0,193;-0,269;-0,2129;-0,166;-0,1965;-0,063;-0,2256;-0,1085;0,147;-0,0045;-0,0375;-0,2063;-0,3285;-0,0625;0,0969;0,251;0,4222;0,3818;0,6022;0,5612;0,7077;0,7784;0,8565;0,889;0,7695;0,8413;0,773;0,8047;0,895;0,8693;0,9875;0,9752;0,786
EUSA10 Curncy;10;0,2835;0,163;-0,028;-0,0711;0,1002;0,1209;0,137;0,069;0,033;-0,188;-0,2605;-0,251;-0,278;-0,229;-0,145;-0,229;-0,175;-0,131;-0,1595;-0,02;-0,18;-0,0542;0,2115;0,0542;0,0236;-0,1516;-0,2716;0,009;0,1786;0,335;0,5118;0,472;0,7038;0,6614;0,812;0,8799;0,957;0,9867;0,8699;0,9415;0,8755;0,901;0,9905;0,963;1,083;1,0685;0,8863
