 ; ; ; ; ; ;314,43;228,07;186,42;162,55;137,38;123,19;120,94;133,2;153,09
 ; ; ; ; ; ;226,57;177,03;152,2;135,77;120,45;113,26;116,5;131,52;154,13
 ; ; ; ; ;292,94;181,02;150,53;132,05;121,31;110,02;106,87;113,91;132,6;162,17
 ; ; ; ; ;186,85;149,13;129,07;118,03;110,5;105,1;103,08;115,56;140,64;189,18
 ; ; ; ;191,53;144,72;124,96;114,41;107,27;101,88;101,45;100,58;119,33;158,79; 
 ; ; ;199,99;137,98;119,19;109,98;103,65;98,9;98,52;98,98;103,05;129,61; ; 
 ; ;175,21;131,3;113,21;105,49;100,36;96,16;96,58;96,78;97,75;107,51;153,21; ; 
 ;150,32;124,04;108,97;101,76;97,89;94,87;96,35;97,48;98,11;99,54;118,81; ; ; 
129,52;119,6;106,75;101,34;97,11;94,61;97,78;100,01;101,5;102,54;112,53;151,23; ; ; 
119,41;108,71;104,6;100,73;97,12;102,52;106,52;109,62;111,63;113,27;161,45; ; ; ; 
124,02;123,57;116,9;148,66;;;;;;;;;;;
